"release_id", "release_date", "action", "file_name"
"r000001","2018-07-23 11:29:08","create","script(1).sql"
"r000001","2018-07-23 11:29:08","create","script(2).sql"
"r000001","2018-07-23 11:29:08","create","script(3).sql"
"r000001","2018-07-23 11:29:08","create","script(4).sql"
"r000001","2018-07-23 11:29:08","create","script(5).sql"
"r000001","2018-07-23 11:29:08","create","script(6).sql"
"r000001","2018-07-23 11:29:08","create","script(7).sql"
"r000001","2018-07-23 11:29:08","revert","revert (1).sql"
"r000001","2018-07-23 11:29:08","revert","revert (2).sql"
"r000001","2018-07-23 11:29:08","revert","revert (3).sql"
"r000001","2018-07-23 11:29:08","revert","revert (4).sql"
